id,이름,성별,나이,거주동,직업,학력,가구형태,주요관심이슈,지지후보,지지강도,투표의향,정치성향,과거투표정당,말투특성
84,김만수,남,68,구포동,청소원,전문대졸,빌라/연립,안보,박민식,3,반드시,보수,국민의힘,감정적
85,송소희,여,46,만덕동,무직,대졸,아파트,일자리,하정우,5,반드시,진보,민주당,적극적
86,최귀순,여,66,구포동,자영업자,전문대졸,빌라/연립,복지,미정,2,반드시,중도,국민의힘,감정적
87,오학수,남,68,덕천동,관리직,고졸,아파트,부동산,박민식,4,반드시,보수,국민의힘,소극적
88,안덕수,남,55,덕천동,회사원,고졸,아파트,부동산,박민식,5,반드시,보수,기타,적극적
89,이우진,남,32,만덕동,택시기사,전문대졸,단독주택,부동산,하정우,4,모름,진보,민주당,무관심
90,임판수,남,67,구포동,자영업자,대졸,빌라/연립,안보,한동훈,3,아마도,진보,민주당,논리적
91,서대현,남,30,만덕동,생산직,고졸,아파트,일자리,하정우,4,반드시,진보,민주당,적극적
92,오대현,남,52,구포동,무직,고졸,아파트,복지,박민식,3,아마도,보수,기타,적극적
93,송성진,남,41,만덕동,택시기사,대졸,단독주택,교육,한동훈,3,모름,중도,국민의힘,적극적
94,오영숙,여,69,구포동,택시기사,전문대졸,단독주택,안보,하정우,3,반드시,진보,민주당,적극적
95,김만수,남,63,덕천동,회사원,중졸,아파트,복지,미정,1,아마도,보수,국민의힘,소극적
96,김기태,남,59,덕천동,회사원,전문대졸,빌라/연립,일자리,미정,2,아마도,보수,민주당,논리적
97,김봉희,여,59,덕천동,공무원,고졸,아파트,부동산,하정우,5,아마도,중도,민주당,감정적
98,한민준,남,51,덕천동,전문직,고졸,빌라/연립,일자리,하정우,4,반드시,진보,민주당,무관심
99,장태식,남,58,만덕동,무직,고졸,단독주택,복지,한동훈,4,반드시,보수,국민의힘,감정적
100,장경순,여,65,만덕동,배달기사,중졸,단독주택,부동산,미정,1,반드시,보수,국민의힘,무관심
101,신병수,남,61,만덕동,배달기사,중졸,단독주택,교육,하정우,4,반드시,진보,민주당,감정적
102,권영자,여,68,덕천동,주부,전문대졸,아파트,교육,박민식,4,반드시,중도,국민의힘,적극적
103,송대현,남,42,덕천동,교사,대졸,아파트,부동산,하정우,3,반드시,진보,민주당,논리적
104,송순자,여,60,만덕동,생산직,중졸,단독주택,일자리,하정우,3,반드시,중도,민주당,논리적
105,김나영,여,25,만덕동,식당주인,대학원졸,빌라/연립,부동산,하정우,4,반드시,진보,기타,감정적
106,장성민,남,35,구포동,자영업자,대졸,단독주택,복지,미정,2,아마도,중도,기타,무관심
107,장유진,여,49,덕천동,관리직,대졸,단독주택,부동산,한동훈,3,모름,중도,국민의힘,적극적
108,정병수,남,59,구포동,편의점운영,전문대졸,빌라/연립,복지,하정우,4,반드시,진보,민주당,논리적
109,서봉수,남,64,만덕동,무직,전문대졸,단독주택,부동산,하정우,4,아마도,진보,기타,감정적
110,임지혜,여,52,만덕동,일용직,고졸,빌라/연립,일자리,하정우,4,아마도,중도,민주당,적극적
111,오지혜,여,25,구포동,청소원,대졸,아파트,일자리,하정우,4,모름,중도,민주당,무관심
112,장성민,남,53,구포동,식당주인,중졸,단독주택,일자리,하정우,3,아마도,진보,민주당,소극적
113,최순희,여,57,구포동,자영업자,전문대졸,단독주택,부동산,하정우,5,아마도,진보,민주당,감정적
114,안영자,여,74,만덕동,일용직,중졸,아파트,일자리,미정,2,반드시,중도,민주당,무관심
115,송만수,남,66,구포동,자영업자,고졸,원룸/고시원,복지,한동훈,5,반드시,중도,국민의힘,소극적
116,권동현,남,47,만덕동,배달기사,고졸,빌라/연립,일자리,하정우,4,아마도,중도,국민의힘,적극적
117,강정숙,여,65,덕천동,공무원,중졸,단독주택,안보,미정,1,반드시,중도,없음(첫투표),소극적
118,정정숙,여,59,구포동,식당주인,고졸,아파트,부동산,하정우,4,아마도,진보,민주당,소극적
119,임서연,여,52,구포동,식당주인,고졸,단독주택,부동산,미정,2,모름,보수,국민의힘,적극적
120,조복순,여,71,구포동,자영업자,고졸,단독주택,복지,한동훈,4,반드시,중도,기타,적극적
121,한귀순,여,56,덕천동,엔지니어,전문대졸,아파트,복지,박민식,3,아마도,중도,민주당,감정적
122,김수진,여,43,구포동,자영업자,전문대졸,단독주택,일자리,미정,2,안할것,중도,민주당,감정적
123,신현주,여,41,만덕동,청소원,대학원졸,단독주택,부동산,하정우,4,아마도,진보,민주당,논리적
124,최춘자,여,79,덕천동,엔지니어,대졸,아파트,일자리,한동훈,5,반드시,진보,민주당,소극적
125,권성진,남,50,덕천동,엔지니어,고졸,아파트,교육,한동훈,4,모름,중도,기타,적극적
126,서병수,남,69,만덕동,가사도우미,대졸,아파트,안보,한동훈,4,반드시,중도,국민의힘,소극적
127,오미진,여,49,덕천동,엔지니어,전문대졸,아파트,복지,박민식,4,아마도,보수,국민의힘,감정적
128,장재원,남,49,만덕동,택시기사,고졸,단독주택,안보,미정,1,모름,보수,국민의힘,논리적
129,임만수,남,58,덕천동,전문직,고졸,빌라/연립,안보,박민식,4,아마도,보수,국민의힘,논리적
130,윤영호,남,70,덕천동,간호사,중졸,단독주택,안보,미정,1,반드시,진보,정의당,감정적
131,장분자,여,57,덕천동,공무원,전문대졸,아파트,안보,하정우,5,반드시,중도,민주당,논리적
132,황창수,남,56,덕천동,관리직,중졸,아파트,복지,한동훈,5,반드시,중도,없음(첫투표),적극적
133,송길동,남,76,덕천동,회사원,고졸,빌라/연립,안보,한동훈,4,반드시,보수,국민의힘,소극적
134,안분자,여,59,만덕동,일용직,전문대졸,단독주택,안보,하정우,4,아마도,중도,없음(첫투표),논리적
135,이경호,남,57,덕천동,자영업자,고졸,아파트,일자리,한동훈,3,반드시,중도,민주당,논리적
136,윤영자,여,75,구포동,배달기사,고졸,빌라/연립,복지,미정,2,반드시,중도,기타,무관심
137,황순자,여,59,덕천동,전문직,대졸,아파트,일자리,미정,2,모름,중도,없음(첫투표),감정적
138,서재민,남,38,구포동,상인,대졸,빌라/연립,일자리,하정우,3,아마도,중도,국민의힘,논리적
139,황순자,여,61,덕천동,회사원,중졸,단독주택,부동산,한동훈,3,아마도,보수,국민의힘,논리적
140,서명자,여,56,구포동,편의점운영,전문대졸,단독주택,교육,하정우,5,아마도,진보,민주당,논리적
141,강철호,남,76,구포동,편의점운영,고졸,빌라/연립,일자리,박민식,4,아마도,중도,민주당,소극적
142,박수연,여,54,덕천동,전문직,고졸,빌라/연립,일자리,한동훈,4,반드시,보수,국민의힘,적극적
143,이성민,남,32,구포동,택시기사,고졸,단독주택,일자리,한동훈,5,반드시,중도,없음(첫투표),적극적
144,신덕수,남,68,만덕동,경비원,대졸,아파트,부동산,하정우,5,안할것,진보,민주당,적극적
145,박은혜,여,48,덕천동,간호사,전문대졸,빌라/연립,일자리,한동훈,4,아마도,보수,국민의힘,논리적
146,조성호,남,47,덕천동,엔지니어,대졸,아파트,교육,박민식,4,아마도,보수,없음(첫투표),논리적
147,이민준,남,26,만덕동,자영업자,전문대졸,빌라/연립,복지,하정우,4,반드시,중도,민주당,적극적
148,윤소희,여,46,만덕동,자영업자,전문대졸,빌라/연립,복지,박민식,5,아마도,보수,국민의힘,논리적
149,안진수,남,50,구포동,택시기사,고졸,단독주택,부동산,미정,2,모름,진보,민주당,논리적
150,송민지,여,27,덕천동,은행원,대학원졸,빌라/연립,부동산,하정우,5,반드시,진보,민주당,적극적
151,정길동,남,59,구포동,상인,고졸,원룸/고시원,교육,하정우,4,반드시,중도,민주당,무관심
152,박진수,남,51,구포동,편의점운영,대졸,빌라/연립,복지,박민식,4,아마도,진보,민주당,감정적
153,박귀순,여,71,구포동,편의점운영,대졸,빌라/연립,부동산,미정,2,반드시,중도,민주당,소극적
154,황순자,여,79,덕천동,주부,대졸,아파트,안보,하정우,5,아마도,중도,없음(첫투표),소극적
155,임성민,남,47,만덕동,생산직,고졸,아파트,교육,미정,1,모름,진보,기타,논리적
156,신영숙,여,63,구포동,청소원,대졸,빌라/연립,일자리,한동훈,5,반드시,중도,국민의힘,무관심
157,송지수,여,54,덕천동,엔지니어,고졸,아파트,부동산,박민식,3,모름,진보,민주당,적극적
158,장은혜,여,33,구포동,상인,전문대졸,빌라/연립,일자리,한동훈,5,반드시,보수,기타,논리적
159,권용철,남,63,만덕동,가사도우미,고졸,빌라/연립,안보,하정우,4,아마도,진보,민주당,감정적
160,강영호,남,77,구포동,상인,중졸,아파트,안보,박민식,3,아마도,중도,기타,소극적
161,임순희,여,58,구포동,일용직,고졸,빌라/연립,부동산,박민식,5,반드시,보수,기타,적극적
162,권귀순,여,58,만덕동,경비원,고졸,단독주택,안보,미정,2,아마도,중도,기타,감정적
163,이태식,남,76,덕천동,관리직,고졸,아파트,일자리,한동훈,3,반드시,중도,민주당,감정적
164,오재민,남,43,덕천동,회사원,대졸,아파트,교육,하정우,4,아마도,중도,기타,감정적
165,황용철,남,56,만덕동,생산직,대졸,빌라/연립,안보,하정우,4,모름,진보,민주당,적극적
166,윤복순,여,69,만덕동,자영업자,대졸,빌라/연립,안보,미정,1,반드시,중도,국민의힘,소극적
167,임창수,남,73,덕천동,자영업자,고졸,빌라/연립,일자리,한동훈,3,반드시,중도,기타,감정적
168,한민준,남,52,구포동,택시기사,대졸,원룸/고시원,교육,박민식,5,반드시,보수,기타,소극적
169,정재원,남,40,만덕동,생산직,전문대졸,단독주택,복지,박민식,4,반드시,보수,없음(첫투표),적극적
170,강경순,여,55,덕천동,은행원,고졸,빌라/연립,복지,박민식,4,모름,보수,국민의힘,적극적
171,김덕수,남,55,구포동,배달기사,전문대졸,원룸/고시원,복지,박민식,4,아마도,중도,없음(첫투표),적극적
172,윤미숙,여,55,만덕동,배달기사,고졸,아파트,복지,한동훈,4,반드시,보수,국민의힘,논리적
173,서영철,남,71,구포동,편의점운영,고졸,빌라/연립,안보,한동훈,3,반드시,보수,없음(첫투표),무관심
174,신학수,남,78,구포동,배달기사,중졸,빌라/연립,복지,미정,2,반드시,진보,기타,무관심
175,송미숙,여,71,만덕동,택시기사,고졸,빌라/연립,부동산,미정,2,아마도,중도,민주당,적극적
176,김옥순,여,67,구포동,일용직,고졸,아파트,복지,한동훈,3,반드시,보수,국민의힘,적극적
177,정길동,남,69,만덕동,자영업자,대졸,단독주택,안보,하정우,3,반드시,중도,기타,무관심
178,정정숙,여,74,덕천동,엔지니어,고졸,아파트,안보,한동훈,5,반드시,중도,민주당,감정적
179,임상민,남,46,구포동,택시기사,대졸,단독주택,일자리,한동훈,4,아마도,진보,없음(첫투표),논리적
180,임봉희,여,68,구포동,자영업자,전문대졸,빌라/연립,부동산,박민식,4,반드시,중도,민주당,소극적
181,신상민,남,51,만덕동,택시기사,대졸,단독주택,일자리,한동훈,3,모름,보수,기타,논리적
182,조태호,남,36,덕천동,엔지니어,대졸,아파트,교육,미정,2,아마도,중도,기타,논리적
183,조미진,여,51,덕천동,전문직,전문대졸,아파트,부동산,박민식,5,아마도,중도,기타,감정적
184,권지영,여,42,구포동,건설노동자,전문대졸,빌라/연립,교육,미정,2,반드시,보수,국민의힘,논리적
185,황용철,남,73,만덕동,가사도우미,중졸,빌라/연립,복지,박민식,4,아마도,보수,국민의힘,감정적
186,권경순,여,69,구포동,건설노동자,전문대졸,아파트,복지,하정우,3,반드시,중도,민주당,감정적
187,송수연,여,22,구포동,무직,대졸,단독주택,일자리,한동훈,4,아마도,중도,국민의힘,무관심
188,최성호,남,42,덕천동,엔지니어,고졸,아파트,부동산,하정우,4,반드시,진보,민주당,감정적
189,안순희,여,75,만덕동,일용직,전문대졸,빌라/연립,일자리,하정우,4,반드시,중도,국민의힘,무관심
190,오수진,여,47,덕천동,전문직,대졸,빌라/연립,안보,박민식,5,반드시,보수,없음(첫투표),소극적
191,윤태호,남,34,구포동,자영업자,대졸,아파트,일자리,하정우,4,아마도,중도,기타,감정적
192,장금순,여,68,만덕동,청소원,중졸,단독주택,안보,미정,2,반드시,보수,국민의힘,적극적
193,안병수,남,59,만덕동,배달기사,고졸,빌라/연립,부동산,박민식,3,반드시,보수,국민의힘,감정적
194,강영호,남,77,만덕동,식당주인,전문대졸,빌라/연립,안보,한동훈,3,반드시,보수,기타,무관심
195,신수연,여,27,만덕동,무직,대졸,단독주택,복지,미정,2,모름,보수,국민의힘,적극적
196,정영숙,여,69,구포동,편의점운영,대졸,빌라/연립,안보,박민식,4,아마도,보수,국민의힘,무관심
197,이명자,여,66,구포동,일용직,고졸,단독주택,안보,미정,1,안할것,보수,국민의힘,소극적
198,서영숙,여,69,만덕동,일용직,전문대졸,아파트,안보,미정,2,반드시,보수,국민의힘,소극적
199,서미숙,여,62,덕천동,공무원,고졸,아파트,복지,박민식,5,반드시,보수,국민의힘,무관심
200,이순희,여,65,구포동,상인,고졸,빌라/연립,복지,미정,1,모름,보수,국민의힘,감정적
