id,이름,성별,나이,거주동,직업,학력,가구형태,주요관심이슈,지지후보,지지강도,투표의향,정치성향,과거투표정당,말투특성
26,이판수,남,59,만덕2동,청소원,중졸,아파트,부동산,하정우,5,아마도,진보,정의당,소극적
27,송수진,여,51,만덕2동,자영업자,고졸,빌라/연립,복지,박민식,5,반드시,보수,국민의힘,적극적
28,장시우,남,52,만덕2동,택시기사,고졸,아파트,일자리,하정우,5,반드시,중도,기타,적극적
29,정창수,남,62,덕천2동,자영업자,대졸,아파트,일자리,한동훈,3,반드시,보수,없음(첫투표),적극적
30,박지영,여,19,구포3동,식당주인,대졸,빌라/연립,교육,박민식,5,반드시,중도,개혁신당,소극적
31,정지혜,여,52,구포1동,건설노동자,전문대졸,아파트,일자리,미정,2,모름,중도,국민의힘,감정적
32,장주원,남,33,구포3동,상인,고졸,단독주택,부동산,박민식,4,반드시,보수,국민의힘,적극적
33,황도윤,남,46,구포1동,건설노동자,고졸,원룸/고시원,복지,한동훈,5,반드시,중도,국민의힘,논리적
34,강서연,여,38,구포1동,청소원,대졸,아파트,부동산,미정,2,모름,중도,기타,논리적
35,조병수,남,57,덕천1동,자영업자,대졸,아파트,복지,한동훈,4,반드시,보수,국민의힘,논리적
36,권소희,여,35,만덕2동,배달기사,대졸,단독주택,일자리,한동훈,4,반드시,보수,국민의힘,감정적
37,최병수,남,69,만덕3동,일용직,중졸,단독주택,일자리,하정우,4,아마도,중도,없음(첫투표),감정적
38,전병수,남,64,구포1동,편의점운영,고졸,아파트,교육,하정우,5,반드시,진보,민주당,적극적
39,박지안,여,21,구포2동,건설노동자,대졸,원룸/고시원,복지,하정우,3,아마도,중도,국민의힘,논리적
40,전기태,남,66,만덕3동,택시기사,고졸,아파트,복지,하정우,4,아마도,진보,기타,무관심
41,이정호,남,77,구포3동,일용직,고졸,빌라/연립,복지,하정우,4,반드시,중도,민주당,감정적
42,최재원,남,36,구포3동,배달기사,고졸,아파트,복지,미정,2,아마도,진보,민주당,소극적
43,강상민,남,36,구포3동,자영업자,대학원졸,단독주택,교육,박민식,3,아마도,중도,국민의힘,무관심
44,최진수,남,35,구포2동,무직,대졸,단독주택,복지,박민식,4,반드시,보수,기타,적극적
45,류영호,남,68,만덕3동,경비원,고졸,단독주택,복지,하정우,4,반드시,진보,민주당,무관심
46,신민지,여,54,덕천1동,주부,전문대졸,빌라/연립,복지,하정우,5,안할것,진보,정의당,논리적
47,권분자,여,80,구포1동,자영업자,중졸,아파트,부동산,하정우,5,반드시,진보,민주당,감정적
48,권옥순,여,69,덕천1동,관리직,고졸,아파트,안보,하정우,4,반드시,진보,정의당,적극적
49,정건우,남,25,덕천3동,자영업자,대졸,단독주택,부동산,박민식,5,반드시,보수,민주당,논리적
50,권유진,여,51,만덕3동,청소원,고졸,빌라/연립,안보,하정우,4,반드시,진보,정의당,논리적
51,신갑순,여,75,구포2동,자영업자,전문대졸,아파트,안보,미정,2,아마도,중도,국민의힘,논리적
52,박하은,여,21,구포2동,무직,전문대졸,원룸/고시원,일자리,박민식,5,반드시,보수,국민의힘,소극적
53,황미진,여,36,구포2동,식당주인,대졸,단독주택,일자리,미정,1,모름,보수,기타,논리적
54,윤경순,여,62,구포2동,식당주인,대졸,빌라/연립,안보,한동훈,3,모름,보수,국민의힘,적극적
55,조봉희,여,60,만덕3동,택시기사,대졸,빌라/연립,일자리,한동훈,5,반드시,중도,국민의힘,소극적
56,윤수아,여,43,만덕2동,청소원,대졸,빌라/연립,교육,하정우,5,반드시,중도,민주당,적극적
57,최수연,여,26,덕천2동,공무원,대학원졸,아파트,일자리,하정우,3,아마도,중도,민주당,무관심
58,김태식,남,88,구포3동,무직,대졸,원룸/고시원,안보,하정우,4,반드시,진보,민주당,감정적
59,서기태,남,65,덕천1동,은행원,중졸,빌라/연립,복지,박민식,3,아마도,보수,개혁신당,적극적
60,강수아,여,53,덕천2동,회사원,전문대졸,빌라/연립,부동산,하정우,3,모름,중도,기타,소극적
61,최동현,남,23,만덕2동,일용직,대졸,단독주택,부동산,박민식,5,반드시,보수,없음(첫투표),논리적
62,장성호,남,43,만덕3동,경비원,전문대졸,단독주택,일자리,박민식,4,아마도,보수,국민의힘,적극적
63,강채원,여,48,덕천3동,전문직,전문대졸,아파트,부동산,박민식,4,반드시,보수,국민의힘,감정적
64,윤현주,여,27,덕천2동,전문직,대졸,아파트,교육,박민식,4,반드시,보수,기타,소극적
65,전은혜,여,32,덕천3동,회사원,대졸,빌라/연립,부동산,미정,1,모름,중도,기타,논리적
66,권영자,여,64,구포1동,자영업자,고졸,아파트,일자리,미정,1,모름,중도,국민의힘,감정적
67,임대현,남,52,구포2동,청소원,전문대졸,빌라/연립,복지,박민식,5,아마도,보수,국민의힘,적극적
68,안예준,남,37,만덕2동,배달기사,대학원졸,단독주택,일자리,하정우,4,모름,진보,민주당,감정적
69,신지수,여,28,덕천3동,간호사,대졸,아파트,교육,한동훈,5,반드시,중도,국민의힘,논리적
70,권태식,남,80,덕천1동,간호사,고졸,아파트,안보,박민식,5,반드시,보수,국민의힘,소극적
71,신대현,남,31,만덕2동,자영업자,대졸,단독주택,부동산,한동훈,4,반드시,보수,국민의힘,적극적
72,안우진,남,41,구포2동,일용직,고졸,빌라/연립,일자리,한동훈,3,아마도,보수,국민의힘,소극적
73,이상민,남,41,만덕3동,배달기사,대졸,빌라/연립,안보,하정우,4,반드시,진보,민주당,논리적
74,강명자,여,56,구포2동,무직,전문대졸,단독주택,복지,미정,2,모름,진보,기타,논리적
75,윤금순,여,68,구포3동,무직,고졸,단독주택,복지,한동훈,4,아마도,중도,기타,적극적
76,류수아,여,54,구포1동,건설노동자,대졸,빌라/연립,부동산,미정,1,안할것,보수,국민의힘,무관심
77,신민준,남,52,구포3동,자영업자,전문대졸,단독주택,복지,박민식,4,아마도,보수,국민의힘,무관심
78,임판수,남,60,구포2동,건설노동자,고졸,빌라/연립,일자리,하정우,3,모름,중도,기타,감정적
79,박도윤,남,41,덕천2동,자영업자,대학원졸,단독주택,부동산,하정우,5,아마도,중도,국민의힘,적극적
80,황명수,남,55,구포2동,무직,전문대졸,아파트,복지,하정우,4,반드시,중도,민주당,무관심
81,윤지혜,여,43,덕천3동,자영업자,고졸,아파트,부동산,한동훈,4,반드시,중도,없음(첫투표),적극적
82,장봉희,여,63,구포3동,택시기사,대졸,빌라/연립,교육,한동훈,4,아마도,보수,국민의힘,적극적
83,임철호,남,72,구포1동,건설노동자,고졸,단독주택,안보,한동훈,4,반드시,보수,국민의힘,무관심
84,윤현주,여,31,덕천3동,엔지니어,전문대졸,아파트,일자리,박민식,5,아마도,보수,국민의힘,논리적
85,오옥순,여,81,만덕2동,생산직,전문대졸,아파트,안보,한동훈,3,반드시,보수,국민의힘,무관심
86,정종수,남,77,구포1동,배달기사,전문대졸,원룸/고시원,부동산,하정우,5,반드시,진보,없음(첫투표),소극적
87,오철호,남,77,덕천2동,엔지니어,고졸,빌라/연립,복지,한동훈,5,아마도,중도,국민의힘,감정적
88,강성민,남,45,덕천3동,전문직,대졸,아파트,부동산,하정우,3,아마도,진보,민주당,적극적
89,한민지,여,29,만덕2동,가사도우미,대졸,단독주택,일자리,박민식,4,안할것,보수,없음(첫투표),소극적
90,박영자,여,67,만덕2동,경비원,대졸,아파트,부동산,미정,1,아마도,중도,민주당,감정적
91,임만수,남,66,구포1동,편의점운영,중졸,아파트,안보,박민식,3,모름,중도,국민의힘,소극적
92,오명수,남,63,만덕2동,자영업자,대졸,단독주택,안보,하정우,4,반드시,진보,정의당,무관심
93,박옥순,여,77,구포3동,배달기사,고졸,아파트,복지,한동훈,3,반드시,보수,기타,적극적
94,안은혜,여,51,구포2동,상인,고졸,아파트,복지,하정우,5,반드시,보수,국민의힘,무관심
95,이현주,여,28,구포2동,배달기사,대졸,아파트,일자리,박민식,4,반드시,보수,국민의힘,적극적
96,박은지,여,22,구포1동,상인,대졸,빌라/연립,교육,하정우,5,반드시,중도,민주당,무관심
97,권영호,남,55,덕천2동,자영업자,중졸,단독주택,교육,하정우,4,반드시,중도,국민의힘,감정적
98,황상민,남,21,덕천1동,은행원,전문대졸,아파트,부동산,미정,2,모름,보수,국민의힘,소극적
99,임명자,여,63,만덕2동,일용직,전문대졸,단독주택,안보,하정우,4,반드시,진보,민주당,논리적
100,권갑순,여,65,구포2동,식당주인,중졸,아파트,일자리,하정우,4,반드시,중도,민주당,감정적
101,정영철,남,69,구포1동,청소원,대졸,단독주택,복지,하정우,5,반드시,진보,민주당,소극적
102,황성호,남,40,만덕3동,택시기사,고졸,단독주택,부동산,미정,2,아마도,중도,민주당,소극적
103,임채원,여,22,만덕2동,자영업자,대졸,단독주택,일자리,미정,2,아마도,중도,국민의힘,소극적
104,신성민,남,24,만덕3동,배달기사,전문대졸,빌라/연립,교육,한동훈,5,아마도,보수,국민의힘,소극적
105,장학수,남,74,구포3동,택시기사,고졸,원룸/고시원,복지,하정우,4,반드시,중도,기타,소극적
106,윤서윤,여,48,덕천1동,공무원,전문대졸,아파트,복지,한동훈,3,반드시,보수,국민의힘,논리적
107,전성호,남,49,덕천3동,교사,대학원졸,아파트,복지,하정우,4,아마도,진보,민주당,적극적
108,안대현,남,53,구포3동,청소원,대졸,빌라/연립,일자리,박민식,4,아마도,중도,민주당,감정적
109,장순자,여,65,덕천1동,엔지니어,고졸,아파트,안보,하정우,3,아마도,진보,민주당,무관심
110,전수연,여,39,구포2동,편의점운영,대학원졸,빌라/연립,교육,한동훈,4,반드시,보수,민주당,적극적
111,강영호,남,83,만덕3동,경비원,전문대졸,단독주택,부동산,박민식,3,반드시,진보,민주당,감정적
112,김학수,남,55,구포3동,자영업자,고졸,빌라/연립,부동산,미정,2,아마도,중도,개혁신당,논리적
113,한광수,남,67,만덕2동,식당주인,고졸,단독주택,일자리,한동훈,4,반드시,보수,국민의힘,소극적
114,서하은,여,41,덕천2동,엔지니어,대학원졸,아파트,안보,미정,1,모름,중도,기타,적극적
115,한재원,남,39,구포3동,상인,대학원졸,아파트,교육,하정우,3,안할것,중도,국민의힘,적극적
116,윤정호,남,79,덕천3동,주부,중졸,아파트,복지,한동훈,5,반드시,중도,국민의힘,적극적
117,오수연,여,30,만덕3동,식당주인,고졸,단독주택,일자리,하정우,5,반드시,중도,기타,논리적
118,정병수,남,56,만덕3동,무직,대졸,아파트,안보,박민식,5,반드시,보수,민주당,무관심
119,전건우,남,39,덕천2동,간호사,대졸,아파트,일자리,미정,2,모름,중도,기타,논리적
120,조재호,남,85,만덕2동,자영업자,고졸,아파트,안보,한동훈,3,반드시,보수,국민의힘,소극적
121,장동현,남,52,구포2동,자영업자,중졸,빌라/연립,교육,박민식,4,모름,보수,국민의힘,적극적
122,송동현,남,25,구포3동,배달기사,대졸,아파트,일자리,한동훈,5,반드시,보수,국민의힘,소극적
123,강건우,남,51,만덕3동,배달기사,대졸,단독주택,일자리,하정우,3,아마도,진보,조국혁신당,적극적
124,장지안,여,50,구포2동,상인,대졸,원룸/고시원,일자리,한동훈,5,반드시,보수,국민의힘,논리적
125,한미숙,여,81,만덕3동,택시기사,고졸,단독주택,복지,한동훈,5,아마도,중도,민주당,소극적
126,전예준,남,50,만덕3동,무직,대졸,빌라/연립,교육,박민식,5,반드시,보수,국민의힘,적극적
127,정명자,여,65,만덕2동,배달기사,대졸,빌라/연립,부동산,하정우,4,아마도,진보,민주당,소극적
128,정명자,여,69,만덕2동,일용직,고졸,단독주택,복지,미정,2,아마도,중도,민주당,감정적
129,서재원,남,32,구포3동,택시기사,대졸,빌라/연립,부동산,한동훈,3,반드시,중도,기타,적극적
130,류명수,남,85,만덕3동,가사도우미,중졸,빌라/연립,복지,미정,2,아마도,진보,민주당,소극적
131,최서윤,여,40,만덕2동,생산직,고졸,단독주택,복지,하정우,4,아마도,중도,없음(첫투표),논리적
132,류경순,여,66,구포2동,배달기사,전문대졸,원룸/고시원,복지,하정우,5,반드시,중도,민주당,적극적
133,서판수,남,80,구포3동,상인,중졸,빌라/연립,부동산,하정우,4,반드시,중도,국민의힘,무관심
134,권순희,여,78,구포2동,일용직,고졸,빌라/연립,일자리,미정,2,아마도,진보,민주당,소극적
135,권우진,남,23,구포3동,상인,대졸,단독주택,복지,하정우,5,아마도,중도,없음(첫투표),무관심
136,류철호,남,62,구포1동,편의점운영,중졸,빌라/연립,일자리,미정,2,모름,중도,민주당,소극적
137,이현주,여,44,만덕2동,자영업자,대졸,단독주택,부동산,미정,2,아마도,중도,국민의힘,적극적
138,신봉수,남,69,덕천1동,전문직,전문대졸,아파트,안보,미정,2,아마도,중도,민주당,적극적
139,김분자,여,63,만덕2동,가사도우미,고졸,빌라/연립,복지,박민식,3,반드시,보수,국민의힘,감정적
140,권수연,여,36,구포3동,무직,대졸,아파트,교육,하정우,5,반드시,진보,민주당,논리적
141,강수진,여,19,구포3동,일용직,대졸,빌라/연립,교육,하정우,3,반드시,중도,기타,논리적
142,임현주,여,53,덕천1동,공무원,전문대졸,아파트,복지,박민식,3,모름,보수,개혁신당,소극적
143,황계순,여,82,구포1동,상인,고졸,단독주택,안보,하정우,3,반드시,중도,국민의힘,무관심
144,최소희,여,51,구포2동,식당주인,고졸,빌라/연립,복지,하정우,4,반드시,진보,민주당,감정적
145,한대현,남,37,구포2동,자영업자,대학원졸,빌라/연립,교육,하정우,5,반드시,보수,국민의힘,무관심
146,안말순,여,60,구포3동,편의점운영,전문대졸,단독주택,복지,박민식,5,아마도,보수,개혁신당,감정적
147,강지혜,여,40,만덕2동,가사도우미,대학원졸,단독주택,교육,하정우,5,반드시,진보,민주당,논리적
148,황하은,여,21,만덕3동,일용직,대졸,단독주택,복지,한동훈,4,아마도,중도,없음(첫투표),논리적
149,임순희,여,57,구포2동,택시기사,중졸,빌라/연립,부동산,한동훈,4,반드시,보수,국민의힘,감정적
150,조준호,남,51,만덕2동,택시기사,대졸,빌라/연립,부동산,박민식,3,반드시,보수,국민의힘,적극적
151,강시우,남,49,만덕2동,경비원,대졸,단독주택,교육,박민식,5,반드시,보수,민주당,무관심
152,윤성호,남,29,덕천2동,전문직,대학원졸,빌라/연립,일자리,하정우,4,아마도,중도,민주당,무관심
153,김병수,남,65,만덕2동,청소원,중졸,단독주택,복지,한동훈,4,반드시,보수,국민의힘,무관심
154,류종수,남,56,덕천3동,관리직,고졸,단독주택,부동산,하정우,4,반드시,진보,민주당,소극적
155,윤미진,여,39,덕천2동,회사원,전문대졸,빌라/연립,일자리,박민식,4,반드시,보수,국민의힘,적극적
156,최채원,여,34,만덕2동,경비원,대학원졸,단독주택,복지,미정,2,아마도,중도,국민의힘,적극적
157,이나영,여,42,구포2동,무직,대졸,아파트,부동산,미정,1,모름,중도,개혁신당,소극적
158,권은혜,여,47,만덕3동,일용직,대졸,단독주택,복지,하정우,5,반드시,진보,민주당,적극적
159,강지혜,여,49,덕천1동,회사원,고졸,아파트,복지,박민식,5,반드시,보수,국민의힘,소극적
160,전복순,여,55,구포2동,편의점운영,고졸,빌라/연립,안보,한동훈,4,반드시,보수,국민의힘,적극적
161,이상민,남,30,만덕2동,무직,대졸,단독주택,복지,하정우,4,반드시,진보,민주당,감정적
162,최주원,남,38,구포2동,건설노동자,전문대졸,빌라/연립,일자리,한동훈,4,아마도,중도,기타,논리적
163,신용철,남,79,구포2동,자영업자,고졸,단독주택,안보,하정우,3,반드시,진보,민주당,소극적
164,황재원,남,18,만덕3동,배달기사,대졸,빌라/연립,교육,한동훈,4,반드시,보수,국민의힘,무관심
165,오종수,남,62,만덕2동,배달기사,전문대졸,빌라/연립,안보,하정우,5,반드시,보수,국민의힘,적극적
166,임민지,여,39,구포3동,자영업자,고졸,빌라/연립,부동산,하정우,4,아마도,진보,민주당,소극적
167,오명자,여,65,구포3동,택시기사,고졸,빌라/연립,부동산,하정우,3,반드시,중도,국민의힘,소극적
168,권말순,여,58,구포2동,일용직,중졸,빌라/연립,안보,하정우,3,아마도,진보,민주당,감정적
169,한말순,여,86,덕천2동,관리직,고졸,빌라/연립,안보,한동훈,3,아마도,중도,국민의힘,감정적
170,류지혜,여,41,구포1동,무직,대졸,아파트,교육,박민식,3,반드시,보수,국민의힘,적극적
171,안민준,남,33,구포1동,상인,고졸,단독주택,교육,박민식,4,반드시,보수,국민의힘,논리적
172,오순자,여,68,구포3동,상인,대졸,단독주택,안보,하정우,5,아마도,진보,민주당,감정적
173,전귀순,여,77,덕천2동,엔지니어,전문대졸,빌라/연립,안보,한동훈,3,반드시,보수,국민의힘,감정적
174,송금순,여,61,덕천1동,회사원,전문대졸,아파트,부동산,박민식,4,아마도,중도,국민의힘,감정적
175,안분례,여,80,구포1동,일용직,전문대졸,단독주택,부동산,하정우,3,반드시,중도,민주당,소극적
176,권명수,남,64,만덕3동,무직,고졸,빌라/연립,부동산,한동훈,5,반드시,보수,민주당,소극적
177,안하은,여,52,만덕2동,일용직,대졸,빌라/연립,일자리,한동훈,4,반드시,보수,국민의힘,논리적
178,임복순,여,59,덕천3동,전문직,대졸,아파트,복지,하정우,4,반드시,진보,민주당,적극적
179,박시우,남,40,구포1동,상인,대학원졸,아파트,부동산,하정우,5,아마도,중도,국민의힘,논리적
180,김말례,여,71,구포2동,택시기사,중졸,단독주택,복지,박민식,3,아마도,보수,국민의힘,감정적
181,권주원,남,22,덕천2동,주부,대졸,빌라/연립,교육,미정,1,모름,진보,민주당,무관심
182,송철호,남,68,만덕3동,택시기사,중졸,아파트,복지,하정우,4,반드시,중도,기타,적극적
183,권병수,남,55,덕천2동,은행원,전문대졸,아파트,부동산,한동훈,4,아마도,보수,기타,적극적
184,윤순자,여,71,구포1동,무직,고졸,단독주택,일자리,박민식,4,안할것,중도,기타,논리적
185,박수진,여,54,만덕2동,식당주인,대졸,아파트,부동산,하정우,5,반드시,진보,민주당,감정적
186,강영철,남,85,만덕2동,일용직,고졸,아파트,부동산,하정우,4,반드시,중도,기타,소극적
187,전판수,남,81,구포1동,택시기사,고졸,아파트,안보,한동훈,3,반드시,중도,기타,감정적
188,이영철,남,63,구포2동,청소원,고졸,빌라/연립,복지,하정우,4,아마도,중도,없음(첫투표),무관심
189,황학수,남,65,구포2동,상인,전문대졸,빌라/연립,복지,한동훈,3,반드시,보수,국민의힘,감정적
190,윤정호,남,84,덕천1동,관리직,고졸,빌라/연립,복지,하정우,4,반드시,진보,민주당,소극적
191,한복순,여,88,만덕2동,자영업자,고졸,단독주택,부동산,하정우,3,아마도,중도,국민의힘,무관심
192,서도윤,남,47,만덕2동,생산직,고졸,단독주택,교육,하정우,5,반드시,진보,기타,감정적
193,김서윤,여,49,구포1동,청소원,대학원졸,아파트,교육,한동훈,4,반드시,보수,국민의힘,논리적
194,류예준,남,26,덕천1동,자영업자,대졸,빌라/연립,일자리,하정우,4,반드시,진보,민주당,논리적
195,전민준,남,41,만덕3동,자영업자,대졸,단독주택,일자리,박민식,4,반드시,보수,기타,감정적
196,정순희,여,64,덕천3동,은행원,전문대졸,아파트,일자리,미정,1,안할것,중도,국민의힘,논리적
197,박영자,여,59,덕천1동,은행원,전문대졸,아파트,부동산,한동훈,5,반드시,보수,국민의힘,적극적
198,윤길동,남,85,구포3동,배달기사,중졸,원룸/고시원,안보,한동훈,3,모름,진보,민주당,소극적
199,윤분자,여,64,구포3동,일용직,대졸,빌라/연립,일자리,박민식,4,반드시,중도,국민의힘,적극적
200,김길동,남,69,구포1동,건설노동자,전문대졸,아파트,안보,한동훈,5,아마도,중도,기타,소극적
